NAME_2,latitude,longitude
GREATER MANCHESTER,53.51517714626135,-2.2842373404172296
MERSEYSIDE,53.44405762723277,-2.9229736500745327
SOUTH YORKSHIRE,53.48439917851179,-1.3312614787369679
